309.437, 129.491, 3.903,  6.369 False
309.306, 129.491, 3.932,  6.402 False
309.174, 129.491, 3.975,  6.435 False
309.040, 129.491, 4.017,  6.468 False
308.905, 129.491, 4.060,  6.501 False
308.769, 129.491, 4.096,  6.534 False
308.632, 129.491, 4.115,  6.567 False
308.495, 129.491, 4.128,  6.600 False
308.357, 129.491, 4.147,  6.633 False
308.218, 129.491, 4.177,  6.666 False
308.077, 129.491, 4.219,  6.699 False
307.936, 129.491, 4.263,  6.732 False
307.792, 129.491, 4.297,  6.765 False
307.648, 129.491, 4.329,  6.798 False
307.503, 129.491, 4.363,  6.831 False
307.357, 129.491, 4.393,  6.864 False
307.210, 129.491, 4.411,  6.897 False
307.063, 129.491, 4.425,  6.930 False
306.915, 129.491, 4.446,  6.963 False
306.766, 129.491, 4.477,  6.996 False
306.616, 129.491, 4.517,  7.029 False
306.464, 129.491, 4.559,  7.062 False
306.311, 129.491, 4.592,  7.095 False
306.157, 129.491, 4.624,  7.128 False
306.002, 129.491, 4.657,  7.161 False
305.846, 129.491, 4.687,  7.194 False
305.690, 129.491, 4.706,  7.227 False
305.532, 129.491, 4.720,  7.260 False
305.375, 129.491, 4.741,  7.293 False
305.216, 129.491, 4.771,  7.326 False
305.056, 129.491, 4.800,  7.359 False
304.895, 129.491, 4.833,  7.392 False
304.733, 129.491, 4.870,  7.425 False
304.570, 129.491, 4.908,  7.458 False
304.406, 129.491, 4.936,  7.491 False
304.240, 129.491, 4.962,  7.524 False
304.074, 129.491, 4.991,  7.557 False
303.907, 129.491, 5.020,  7.590 False
303.739, 129.491, 5.047,  7.623 False
303.571, 129.497, 5.044,  7.656 False
303.403, 129.509, 5.042,  7.689 False
303.236, 129.528, 5.048,  7.722 False
303.068, 129.550, 5.079,  7.755 False
302.899, 129.576, 5.113,  7.788 False
302.728, 129.604, 5.156,  7.821 False
302.557, 129.635, 5.207,  7.854 False
302.384, 129.669, 5.271,  7.887 False
302.209, 129.701, 5.349,  7.920 False
302.032, 129.734, 5.405,  7.953 False
301.854, 129.768, 5.424,  7.986 False
301.676, 129.804, 5.452,  8.019 False
301.499, 129.845, 5.461,  8.052 False
301.322, 129.889, 5.483,  8.085 False
301.144, 129.935, 5.509,  8.118 False
300.966, 129.983, 5.542,  8.151 False
300.787, 130.034, 5.572,  8.184 False
300.608, 130.086, 5.602,  8.217 False
300.427, 130.136, 5.638,  8.250 False
300.245, 130.186, 5.668,  8.283 False
300.063, 130.237, 5.689,  8.316 False
299.880, 130.289, 5.710,  8.349 False
299.696, 130.339, 5.732,  8.382 False
299.511, 130.389, 5.756,  8.415 False
299.325, 130.440, 5.780,  8.448 False
299.138, 130.490, 5.809,  8.481 False
298.951, 130.541, 5.834,  8.514 False
298.763, 130.592, 5.860,  8.547 False
298.574, 130.644, 5.886,  8.580 False
298.383, 130.696, 5.918,  8.613 False
298.192, 130.748, 5.952,  8.646 False
298.000, 130.800, 5.993,  8.679 False
297.807, 130.855, 6.031,  8.712 False
297.612, 130.911, 6.070,  8.745 False
297.417, 130.966, 6.089,  8.778 False
297.221, 131.020, 6.120,  8.811 False
297.023, 131.072, 6.150,  8.844 False
296.824, 131.125, 6.184,  8.877 False
296.624, 131.177, 6.211,  8.910 False
296.423, 131.229, 6.237,  8.943 False
296.221, 131.280, 6.259,  8.976 False
296.018, 131.332, 6.286,  9.009 False
295.814, 131.382, 6.305,  9.042 False
295.610, 131.433, 6.323,  9.075 False
295.404, 131.483, 6.344,  9.108 False
295.198, 131.533, 6.373,  9.141 False
294.991, 131.582, 6.405,  9.174 False
294.782, 131.632, 6.446,  9.207 False
294.572, 131.681, 6.483,  9.240 False
294.360, 131.729, 6.521,  9.273 False
294.147, 131.777, 6.554,  9.306 False
293.933, 131.824, 6.584,  9.339 False
293.718, 131.870, 6.597,  9.372 False
293.503, 131.916, 6.616,  9.405 False
293.286, 131.962, 6.639,  9.438 False
293.069, 132.006, 6.672,  9.471 False
292.850, 132.051, 6.707,  9.504 False
292.630, 132.094, 6.747,  9.537 False
292.408, 132.138, 6.775,  9.570 False
292.185, 132.180, 6.811,  9.603 False
291.961, 132.223, 6.842,  9.636 False
291.736, 132.264, 6.876,  9.669 False
291.510, 132.305, 6.905,  9.702 False
291.283, 132.346, 6.934,  9.735 False
291.055, 132.385, 6.952,  9.768 False
290.826, 132.424, 6.967,  9.801 False
290.597, 132.462, 6.983,  9.834 False
290.366, 132.500, 7.006,  9.867 False
