-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.037,  0.148
-183.800, 80.197, 0.036,  0.181
-183.800, 80.196, 0.043,  0.214
-183.800, 80.192, 0.122,  0.247
-183.798, 80.185, 0.224,  0.280
-183.796, 80.174, 0.332,  0.313
-183.791, 80.159, 0.472,  0.346
-183.785, 80.139, 0.627,  0.379
-183.776, 80.114, 0.754,  0.412
-183.763, 80.083, 0.965,  0.445
-183.745, 80.047, 1.100,  0.478
-183.723, 80.008, 1.215,  0.511
-183.695, 79.967, 1.319,  0.544
-183.663, 79.923, 1.438,  0.577
-183.626, 79.876, 1.568,  0.610
-183.585, 79.826, 1.703,  0.643
-183.539, 79.773, 1.839,  0.676
-183.489, 79.718, 1.976,  0.709
-183.434, 79.659, 2.136,  0.742
-183.375, 79.597, 2.335,  0.775
-183.313, 79.529, 2.562,  0.808
-183.250, 79.454, 2.804,  0.841
-183.186, 79.371, 3.046,  0.874
-183.122, 79.281, 3.264,  0.907
-183.062, 79.183, 3.426,  0.940
-183.008, 79.080, 3.505,  0.973
-182.959, 78.975, 3.486,  1.006
-182.916, 78.870, 3.424,  1.039
-182.875, 78.767, 3.351,  1.072
-182.837, 78.666, 3.283,  1.105
-182.799, 78.565, 3.236,  1.138
-182.763, 78.466, 3.203,  1.171
-182.727, 78.367, 3.188,  1.204
-182.693, 78.267, 3.202,  1.237
-182.659, 78.165, 3.238,  1.270
-182.625, 78.062, 3.254,  1.303
-182.594, 77.959, 3.221,  1.336
-182.563, 77.858, 3.174,  1.369
-182.534, 77.758, 3.126,  1.402
-182.505, 77.659, 3.081,  1.435
-182.477, 77.562, 3.050,  1.468
-182.449, 77.464, 3.045,  1.501
-182.422, 77.365, 3.072,  1.534
-182.396, 77.265, 3.126,  1.567
-182.370, 77.162, 3.162,  1.600
-182.345, 77.060, 3.145,  1.633
-182.321, 76.959, 3.070,  1.666
-182.298, 76.862, 2.994,  1.699
-182.276, 76.766, 2.953,  1.732
